DATE,INFECTDISEMVTRACKD
2018-04-06,0.37000
2018-04-07,0.63000
2018-04-08,3.40000
2018-04-09,0.60000
2018-04-10,0.00000
2018-04-11,0.31000
2018-04-12,0.31000
2018-04-13,0.36000
2018-04-14,0.00000
2018-04-15,0.00000
2018-04-16,0.59000
2018-04-17,3.36000
2018-04-18,0.00000
2018-04-19,0.00000
2018-04-20,0.00000
2018-04-21,1.81000
2018-04-22,0.00000
2018-04-23,0.00000
2018-04-24,0.42000
2018-04-25,0.00000
2018-04-26,0.30000
2018-04-27,0.00000
2018-04-28,0.00000
2018-04-29,1.05000
2018-04-30,0.00000
2018-05-01,0.00000
2018-05-02,0.00000
2018-05-03,0.00000
2018-05-04,0.00000
2018-05-05,0.00000
2018-05-06,1.11000
2018-05-07,0.00000
2018-05-08,0.00000
2018-05-09,0.00000
2018-05-10,0.00000
2018-05-11,0.00000
2018-05-12,0.00000
2018-05-13,0.55000
2018-05-14,0.00000
2018-05-15,1.32000
2018-05-16,0.00000
2018-05-17,0.00000
2018-05-18,0.00000
2018-05-19,0.63000
2018-05-20,4.39000
2018-05-21,0.00000
2018-05-22,0.00000
2018-05-23,0.00000
2018-05-24,0.00000
2018-05-25,0.37000
2018-05-26,0.00000
2018-05-27,0.00000
2018-05-28,0.95000
2018-05-29,0.00000
2018-05-30,0.00000
2018-05-31,0.61000
2018-06-01,0.00000
2018-06-02,0.00000
2018-06-03,0.00000
2018-06-04,0.00000
2018-06-05,0.00000
2018-06-06,0.00000
2018-06-07,0.32000
2018-06-08,0.00000
2018-06-09,0.00000
2018-06-10,0.58000
2018-06-11,0.63000
2018-06-12,0.00000
2018-06-13,0.00000
2018-06-14,0.32000
2018-06-15,0.00000
2018-06-16,0.67000
2018-06-17,0.00000
2018-06-18,0.00000
2018-06-19,0.44000
2018-06-20,0.00000
2018-06-21,0.33000
2018-06-22,0.00000
2018-06-23,0.00000
2018-06-24,0.00000
2018-06-25,1.30000
2018-06-26,0.00000
2018-06-27,0.00000
2018-06-28,0.35000
2018-06-29,0.00000
2018-06-30,0.00000
2018-07-01,0.00000
2018-07-02,0.00000
2018-07-03,0.00000
2018-07-04,0.00000
2018-07-05,0.00000
2018-07-06,0.00000
2018-07-07,0.00000
2018-07-08,0.00000
2018-07-09,0.00000
2018-07-10,0.00000
2018-07-11,0.39000
2018-07-12,0.77000
2018-07-13,0.00000
2018-07-14,0.76000
2018-07-15,1.33000
2018-07-16,2.17000
2018-07-17,0.00000
2018-07-18,0.00000
2018-07-19,0.00000
2018-07-20,0.00000
2018-07-21,0.00000
2018-07-22,1.34000
2018-07-23,0.00000
2018-07-24,0.00000
2018-07-25,0.00000
2018-07-26,0.00000
2018-07-27,0.00000
2018-07-28,0.00000
2018-07-29,0.67000
2018-07-30,0.00000
2018-07-31,1.08000
2018-08-01,0.00000
2018-08-02,0.00000
2018-08-03,0.00000
2018-08-04,0.00000
2018-08-05,0.64000
2018-08-06,0.00000
2018-08-07,0.00000
2018-08-08,0.00000
2018-08-09,0.00000
2018-08-10,0.46000
2018-08-11,0.00000
2018-08-12,0.00000
2018-08-13,1.43000
2018-08-14,0.00000
2018-08-15,0.00000
2018-08-16,0.00000
2018-08-17,0.00000
2018-08-18,0.71000
2018-08-19,0.65000
2018-08-20,0.00000
2018-08-21,0.00000
2018-08-22,0.00000
2018-08-23,0.00000
2018-08-24,0.00000
2018-08-25,0.00000
2018-08-26,1.23000
2018-08-27,0.00000
2018-08-28,0.49000
2018-08-29,0.00000
2018-08-30,0.36000
2018-08-31,0.00000
2018-09-01,0.00000
2018-09-02,0.00000
2018-09-03,0.00000
2018-09-04,0.00000
2018-09-05,0.00000
2018-09-06,2.54000
2018-09-07,0.40000
2018-09-08,0.00000
2018-09-09,0.00000
2018-09-10,0.00000
2018-09-11,0.00000
2018-09-12,0.00000
2018-09-13,0.35000
2018-09-14,0.79000
2018-09-15,0.00000
2018-09-16,0.61000
2018-09-17,0.00000
2018-09-18,0.00000
2018-09-19,0.37000
2018-09-20,0.00000
2018-09-21,0.00000
2018-09-22,0.00000
2018-09-23,2.47000
2018-09-24,0.00000
2018-09-25,0.00000
2018-09-26,0.00000
2018-09-27,0.00000
2018-09-28,1.27000
2018-09-29,0.00000
2018-09-30,0.61000
2018-10-01,0.00000
2018-10-02,0.00000
2018-10-03,0.36000
2018-10-04,0.00000
2018-10-05,0.82000
2018-10-06,0.00000
2018-10-07,1.90000
2018-10-08,0.69000
2018-10-09,0.00000
2018-10-10,0.36000
2018-10-11,0.00000
2018-10-12,0.84000
2018-10-13,0.64000
2018-10-14,0.62000
2018-10-15,0.00000
2018-10-16,0.00000
2018-10-17,0.73000
2018-10-18,0.35000
2018-10-19,0.83000
2018-10-20,0.00000
2018-10-21,0.00000
2018-10-22,0.00000
2018-10-23,0.50000
2018-10-24,0.00000
2018-10-25,0.71000
2018-10-26,0.42000
2018-10-27,1.28000
2018-10-28,0.00000
2018-10-29,1.32000
2018-10-30,0.00000
2018-10-31,0.00000
2018-11-01,0.35000
2018-11-02,0.00000
2018-11-03,1.25000
2018-11-04,1.21000
2018-11-05,1.33000
2018-11-06,0.00000
2018-11-07,0.35000
2018-11-08,0.00000
2018-11-09,0.00000
2018-11-10,0.00000
2018-11-11,0.00000
2018-11-12,0.00000
2018-11-13,0.00000
2018-11-14,0.75000
2018-11-15,0.00000
2018-11-16,0.00000
2018-11-17,0.67000
2018-11-18,0.63000
2018-11-19,1.68000
2018-11-20,0.00000
2018-11-21,0.00000
2018-11-22,0.00000
2018-11-23,0.53000
2018-11-24,0.00000
2018-11-25,0.00000
2018-11-26,0.00000
2018-11-27,0.51000
2018-11-28,0.38000
2018-11-29,0.38000
2018-11-30,0.44000
2018-12-01,0.00000
2018-12-02,0.63000
2018-12-03,0.00000
2018-12-04,0.00000
2018-12-05,0.36000
2018-12-06,0.37000
2018-12-07,0.00000
2018-12-08,0.00000
2018-12-09,0.00000
2018-12-10,0.00000
2018-12-11,1.01000
2018-12-12,0.00000
2018-12-13,0.00000
2018-12-14,0.00000
2018-12-15,0.00000
2018-12-16,1.34000
2018-12-17,0.68000
2018-12-18,0.51000
2018-12-19,0.00000
2018-12-20,0.38000
2018-12-21,0.00000
2018-12-22,0.00000
2018-12-23,0.00000
2018-12-24,0.00000
2018-12-25,0.00000
2018-12-26,0.00000
2018-12-27,0.00000
2018-12-28,0.50000
2018-12-29,0.00000
2018-12-30,0.00000
