release_date,Average Daily Compound Score,Average Daily Compound Score ex 0s,Sum Composite Score,VIX,VIX x .01,VIX x .001
7/19/2020,0.045,0.1,2.588,25.68,0.2568,0.02568
7/20/2020,0.095,0.175,5.597,24.459999,0.24459999,0.024459999
7/21/2020,0.078,0.183,4.749,24.84,0.2484,0.02484
7/22/2020,-0.002,-0.005,-0.13,24.32,0.2432,0.02432
7/23/2020,0.088,0.169,4.735,26.08,0.2608,0.02608
7/24/2020,-0.031,-0.065,-0.587,25.84,0.2584,0.02584
7/25/2020,0.222,0.295,1.772,25.84,0.2584,0.02584
7/26/2020,0.014,0.034,0.652,25.84,0.2584,0.02584
7/27/2020,0.07,0.163,5.215,24.74,0.2474,0.02474
7/28/2020,0.037,0.074,2.437,25.440001,0.25440001,0.025440001
7/29/2020,0.099,0.191,8.207,24.1,0.241,0.0241
7/30/2020,0.038,0.082,3.109,24.76,0.2476,0.02476
7/31/2020,0.09,0.18,0.539,24.459999,0.24459999,0.024459999
8/1/2020,0.154,0.308,0.924,24.459999,0.24459999,0.024459999
8/2/2020,0.079,0.199,4.173,24.459999,0.24459999,0.024459999
8/3/2020,0.073,0.166,5.308,24.280001,0.24280001,0.024280001
8/4/2020,0.061,0.128,4.352,23.76,0.2376,0.02376
8/5/2020,-0.01,-0.017,-0.68,22.99,0.2299,0.02299
8/6/2020,0.03,0.065,1.95,22.65,0.2265,0.02265
8/7/2020,0.086,0.2,1.197,22.209999,0.22209999,0.022209999
8/8/2020,0,0,0,22.209999,0.22209999,0.022209999
8/9/2020,0.016,0.037,0.924,22.209999,0.22209999,0.022209999
8/10/2020,0.058,0.119,2.505,22.129999,0.22129999,0.022129999
8/11/2020,0.019,0.04,0.967,24.030001,0.24030001,0.024030001
8/12/2020,0.01,0.026,0.437,22.280001,0.22280001,0.022280001
8/13/2020,0.097,0.236,5.423,22.129999,0.22129999,0.022129999
8/14/2020,0.045,0.318,0.318,22.049999,0.22049999,0.022049999
8/15/2020,-0.067,-0.147,-0.733,22.049999,0.22049999,0.022049999
8/16/2020,0.055,0.127,2.291,22.049999,0.22049999,0.022049999
8/17/2020,0.031,0.071,1.355,21.35,0.2135,0.02135
8/18/2020,0.022,0.043,1.28,21.51,0.2151,0.02151
8/19/2020,0.074,0.155,3.567,22.540001,0.22540001,0.022540001
8/20/2020,0.07,0.166,4.142,22.719999,0.22719999,0.022719999
8/21/2020,0.213,0.383,1.917,22.540001,0.22540001,0.022540001
8/22/2020,0.099,0.494,0.494,22.540001,0.22540001,0.022540001
8/23/2020,0.03,0.082,1.644,22.540001,0.22540001,0.022540001
8/24/2020,0.077,0.136,4.08,22.370001,0.22370001,0.022370001
8/25/2020,0.09,0.201,5.834,22.030001,0.22030001,0.022030001
8/26/2020,0.076,0.136,4.617,23.27,0.2327,0.02327
8/27/2020,0.095,0.162,5.989,24.469999,0.24469999,0.024469999
8/28/2020,-0.049,-0.296,-0.296,22.959999,0.22959999,0.022959999
8/29/2020,0.052,0.078,0.311,22.959999,0.22959999,0.022959999
8/30/2020,0.034,0.071,1.703,22.959999,0.22959999,0.022959999
8/31/2020,0.105,0.244,4.64,26.41,0.2641,0.02641
