Trade Date,Underlying,Product Type,Exchange,Volume
2013/02/06,SPX,I,CBOE,534918
2013/02/07,SPX,I,CBOE,651642
2013/02/08,SPX,I,CBOE,798819
2013/02/11,SPX,I,CBOE,639341
2013/02/12,SPX,I,CBOE,720127
2013/02/13,SPX,I,CBOE,801817
2013/02/14,SPX,I,CBOE,817783
2013/02/15,SPX,I,CBOE,922323
2013/02/19,SPX,I,CBOE,820037
2013/02/20,SPX,I,CBOE,857017
2013/02/21,SPX,I,CBOE,1127007
2013/02/22,SPX,I,CBOE,713769
2013/02/25,SPX,I,CBOE,939600
2013/02/26,SPX,I,CBOE,1066059
2013/02/27,SPX,I,CBOE,946040
2013/02/28,SPX,I,CBOE,714901
2013/03/01,SPX,I,CBOE,836402
2013/03/04,SPX,I,CBOE,749486
2013/03/05,SPX,I,CBOE,1397406
2013/03/06,SPX,I,CBOE,830107
2013/03/07,SPX,I,CBOE,736436
2013/03/08,SPX,I,CBOE,981126
2013/03/11,SPX,I,CBOE,849646
2013/03/12,SPX,I,CBOE,1158626
2013/03/13,SPX,I,CBOE,751009
2013/03/14,SPX,I,CBOE,1033037
2013/03/15,SPX,I,CBOE,864823
2013/03/18,SPX,I,CBOE,621293
2013/03/19,SPX,I,CBOE,839294
2013/03/20,SPX,I,CBOE,924542
2013/03/21,SPX,I,CBOE,841612
2013/03/22,SPX,I,CBOE,662362
2013/03/25,SPX,I,CBOE,656987
2013/03/26,SPX,I,CBOE,564467
2013/03/27,SPX,I,CBOE,554320
2013/03/28,SPX,I,CBOE,812106
2013/04/01,SPX,I,CBOE,434494
2013/04/02,SPX,I,CBOE,673712
2013/04/03,SPX,I,CBOE,890115
2013/04/04,SPX,I,CBOE,635633
2013/04/05,SPX,I,CBOE,886481
2013/04/08,SPX,I,CBOE,471999
2013/04/09,SPX,I,CBOE,700837
2013/04/10,SPX,I,CBOE,1202537
2013/04/11,SPX,I,CBOE,1184115
2013/04/12,SPX,I,CBOE,918554
2013/04/15,SPX,I,CBOE,1094248
2013/04/16,SPX,I,CBOE,676132
2013/04/17,SPX,I,CBOE,1301782
2013/04/18,SPX,I,CBOE,1343251
2013/04/19,SPX,I,CBOE,796173
2013/04/22,SPX,I,CBOE,561501
2013/04/23,SPX,I,CBOE,832134
2013/04/24,SPX,I,CBOE,623684
2013/04/25,SPX,I,CBOE,606340
2013/04/26,SPX,I,CBOE,700115
2013/04/29,SPX,I,CBOE,510929
2013/04/30,SPX,I,CBOE,488486
2013/05/01,SPX,I,CBOE,692356
2013/05/02,SPX,I,CBOE,820067
2013/05/03,SPX,I,CBOE,1481173
2013/05/06,SPX,I,CBOE,772798
2013/05/07,SPX,I,CBOE,893085
2013/05/08,SPX,I,CBOE,1037437
2013/05/09,SPX,I,CBOE,1026149
2013/05/10,SPX,I,CBOE,853487
2013/05/13,SPX,I,CBOE,647719
2013/05/14,SPX,I,CBOE,1430443
2013/05/15,SPX,I,CBOE,1352984
2013/05/16,SPX,I,CBOE,1065324
2013/05/17,SPX,I,CBOE,1029753
2013/05/20,SPX,I,CBOE,703639
2013/05/21,SPX,I,CBOE,789146
2013/05/22,SPX,I,CBOE,1446088
2013/05/23,SPX,I,CBOE,894534
2013/05/24,SPX,I,CBOE,756833
2013/05/28,SPX,I,CBOE,568245
2013/05/29,SPX,I,CBOE,677536
2013/05/30,SPX,I,CBOE,596010
2013/05/31,SPX,I,CBOE,954901
2013/06/03,SPX,I,CBOE,836387
2013/06/04,SPX,I,CBOE,623804
2013/06/05,SPX,I,CBOE,1263112
2013/06/06,SPX,I,CBOE,1390104
2013/06/07,SPX,I,CBOE,975507
2013/06/10,SPX,I,CBOE,475594
2013/06/11,SPX,I,CBOE,649711
2013/06/12,SPX,I,CBOE,738157
2013/06/13,SPX,I,CBOE,894586
2013/06/14,SPX,I,CBOE,886188
2013/06/17,SPX,I,CBOE,760779
2013/06/18,SPX,I,CBOE,757120
2013/06/19,SPX,I,CBOE,987523
2013/06/20,SPX,I,CBOE,2282029
2013/06/21,SPX,I,CBOE,1344522
2013/06/24,SPX,I,CBOE,1378421
2013/06/25,SPX,I,CBOE,738427
2013/06/26,SPX,I,CBOE,788977
2013/06/27,SPX,I,CBOE,967429
2013/06/28,SPX,I,CBOE,708388
2013/07/01,SPX,I,CBOE,655764
2013/07/02,SPX,I,CBOE,757786
2013/07/03,SPX,I,CBOE,422726
2013/07/05,SPX,I,CBOE,697302
2013/07/08,SPX,I,CBOE,1150805
2013/07/09,SPX,I,CBOE,967855
2013/07/10,SPX,I,CBOE,778936
2013/07/11,SPX,I,CBOE,1250900
2013/07/12,SPX,I,CBOE,893152
2013/07/15,SPX,I,CBOE,930942
2013/07/16,SPX,I,CBOE,767845
2013/07/17,SPX,I,CBOE,935430
2013/07/18,SPX,I,CBOE,1237044
2013/07/19,SPX,I,CBOE,632700
2013/07/22,SPX,I,CBOE,524907
2013/07/23,SPX,I,CBOE,466792
2013/07/24,SPX,I,CBOE,525073
2013/07/25,SPX,I,CBOE,538540
2013/07/26,SPX,I,CBOE,780833
2013/07/29,SPX,I,CBOE,419711
