DATE,WLEMUINDXD
2018-06-05,7.33000
2018-06-06,5.54000
2018-06-07,16.33000
2018-06-08,6.71000
2018-06-09,11.46000
2018-06-10,9.97000
2018-06-11,10.68000
2018-06-12,7.28000
2018-06-13,5.90000
2018-06-14,10.80000
2018-06-15,18.66000
2018-06-16,11.35000
2018-06-17,19.75000
2018-06-18,10.41000
2018-06-19,82.58000
2018-06-20,12.02000
2018-06-21,5.70000
2018-06-22,13.61000
2018-06-23,23.78000
2018-06-24,61.12000
2018-06-25,22.24000
2018-06-26,8.33000
2018-06-27,24.45000
2018-06-28,12.02000
2018-06-29,42.54000
2018-06-30,12.04000
2018-07-01,10.52000
2018-07-02,33.27000
2018-07-03,8.50000
2018-07-04,45.79000
2018-07-05,33.91000
2018-07-06,90.81000
2018-07-07,127.44000
2018-07-08,125.27000
2018-07-09,50.44000
2018-07-10,26.90000
2018-07-11,6.69000
2018-07-12,32.79000
2018-07-13,7.55000
2018-07-14,12.97000
2018-07-15,11.33000
2018-07-16,12.34000
2018-07-17,27.13000
2018-07-18,13.15000
2018-07-19,12.63000
2018-07-20,23.12000
2018-07-21,25.85000
2018-07-22,11.42000
2018-07-23,12.14000
2018-07-24,27.70000
2018-07-25,6.61000
2018-07-26,26.16000
2018-07-27,7.68000
2018-07-28,13.10000
2018-07-29,11.42000
2018-07-30,12.58000
2018-07-31,9.22000
2018-08-01,6.59000
2018-08-02,12.90000
2018-08-03,7.43000
2018-08-04,25.75000
2018-08-05,10.96000
2018-08-06,11.86000
2018-08-07,9.03000
2018-08-08,13.01000
2018-08-09,6.56000
2018-08-10,7.77000
2018-08-11,12.90000
2018-08-12,103.70000
2018-08-13,36.69000
2018-08-14,81.49000
2018-08-15,6.59000
2018-08-16,6.24000
2018-08-17,22.32000
2018-08-18,36.24000
2018-08-19,55.12000
2018-08-20,11.86000
2018-08-21,17.20000
2018-08-22,12.64000
2018-08-23,78.54000
2018-08-24,28.12000
2018-08-25,195.17000
2018-08-26,42.02000
2018-08-27,22.77000
2018-08-28,50.18000
2018-08-29,12.52000
2018-08-30,30.45000
2018-08-31,103.98000
2018-09-01,33.02000
2018-09-02,43.23000
2018-09-03,50.37000
2018-09-04,18.59000
2018-09-05,30.89000
